Banco;UF;Municipio;idempresa;Meses;Contas ativas (pico);Comercios (pico)
VITORIA;AC;;57;1;1;0
BANCO DA GENTE;AL;;189;2;1;1
EDG;AL;;172;41;778;1
FUNPET;AL;;128;2;0;0
LIMOEIRO DE ANADIA;AL;;121;19;3016;1
ARUAK;AM;;54;11;3;0
CONQUISTA;AM;;33;54;9;0
LIBERDADE;AM;;32;15;22;0
MAUA;AM;;52;3;1;0
ABRANTES;BA;;61;3;1;0
BANCOSOL;BA;;185;21;11;1
CITRUS;BA;;139;3;0;1
ILHAMAR;BA;;130;26;1;1
IPITANGA;BA;;184;2;0;1
JAGUARARI;BA;;107;6;9;0
SANTA LUZIA;BA;;91;36;13;1
AMONTADA;CE;;49;12;2;0
CAUCAIA;CE;;37;3;1;0
Ceará Credi;CE;;137;48;1842;1
DEMOCRACIA;CE;;104;2;0;0
DISERV;CE;;98;30;29;0
ECOFOR;CE;;97;109;637;1
EDINHEIROCRED;CE;;110;78;2;1
FEICOOP;CE;;181;9;132;13
Instituto e-Dinheiro Brasil;CE;;2;137;363;3
JUAZEIRO;CE;;5;10;1;0
OCARDS;CE;;85;41;1;0
PAJÚ;CE;;4;25;4;0
PALMAS;CE;;80;137;167;2
RADIO ATITUDE POPULAR;CE;;114;1;0;0
SERTANEJO;CE;;90;77;9;1
SGA Cidadão - São Gonçalo do Amarante-CE;CE;;143;29;493;1
SOMOS UM;CE;;122;17;4994;0
Sitio Sao Joao;CE;;84;13;1;0
Smart Change Cash;CE;;70;4;72;0
UNIÃO CE;CE;;136;6;583;0
ACDF;DF;;73;1;1;0
CEA;DF;;125;2;0;0
Ceilandia;DF;;23;20;6;0
ESTRUTURAL;DF;;22;60;16;0
Instituto e-Dinheiro Brasil;DF;;1;82;525;0
Itapoa;DF;;24;19;13;0
Moneyclip;DF;;20;20;1;0
PICNIK;DF;;78;1;1;0
ABRAÇO;ES;;9;57;11;1
BEM;ES;Vitória;7;137;224;3
CAPARAÓ;ES;;127;43;51;1
ESPERANÇA;ES;;10;8;12;0
FOZ DO RIO DOCE;ES;;175;42;9;1
KIRI KERE;ES;;100;18;12;1
MAR;ES;;18;14;9;1
MONSARAS;ES;;171;49;17;1
MULTBONUS;ES;;40;17;11;0
PASSARELA;ES;;11;40;15;1
PUA;ES;Vitória;12;9;2;0
SOL;ES;;13;32;52;1
TERRA;ES;;14;80;49;1
UNIÃO;ES;;15;10;3;0
VERDE VIDA;ES;;16;8;19;0
Viver;ES;;17;13;7;0
ACAIC;GO;;83;3;4;0
ACING;GO;;72;2;2;0
Cootraap;GO;;30;6;15;0
PEQUI;GO;;39;8;3;0
ASSOCIACAO DE MORADORES DO BAIRRO NOVA ESPERANCA;MG;;174;43;11;1
BANCLISA;MG;;34;105;59;1
BANCO COMUNITARIO LAGOA VERDE;MG;;161;50;18;1
CHAPADENSE;MG;;31;10;10;0
CRESCER;MG;;178;40;9;1
Esmeralda;MG;;29;11;3;0
GRANA LIMPA;MG;;192;1;0;0
IGARAPÉ;MG;;79;15;17;0
MUDAJUNTO;MG;;188;1;0;1
SEVILHA;MG;;177;13;10;1
ITA;MS;;82;1;1;0
PIRÊ;MS;;68;70;7;1
CERRADO;MT;;75;49;10;0
ALACHASTER BANK;PA;;115;37;11;1
ASPAM;PA;;51;5;1;0
BANCO SOCIAL CARLOS MELK;PA;;148;1;0;1
CABANOS;PA;;58;1;0;0
LUZES NA AMAZONIA;PA;;135;1;0;0
PARAISO;PA;;48;10;10;0
TUPINAMBÁ;PA;;6;136;20;1
CEMAR;PB;;99;4;3;0
CEPAG/SETE LAGOAS;PB;;126;5;3;0
DONA INES;PB;;190;10;891;10
JARDIM BOTANICO;PB;;62;45;5;1
LAGOA;PB;;92;29;5;0
ACREDITAR;PE;;134;9;177;0
COCAIS;PI;;88;89;6;1
Neuro;PR;;26;4;2;0
ALEGRIAS;RJ;;179;54;42;3
ARARIBOIA;RJ;Niterói;131;75;66681;481
ARERJ;RJ;;111;2;1;0
BANCO MUMBUCA;RJ;Maricá;180;1;1;1
CDD;RJ;;69;8;5;0
CULTURA;RJ;;103;14;21;0
ECCOPONTO;RJ;;112;84;126;2
ELEFANTINA;RJ;;141;58;42;2
FUNDINHO;RJ;Maricá;117;43;27;1
IGUABA GRANDE;RJ;Iguaba Grande;140;48;2602;23
ITAJURU 1;RJ;Cabo Frio;142;43;579;1
ITAJURU 2;RJ;Maricá;146;35;522;1
ITAJURU 3;RJ;Cabo Frio;164;31;514;1
