Municipio;UF;Banco comunitario;Meses de dados;Contas ativas (pico);Comercios (pico);Plano legivel;Promete moeda social;Promete renda;Promete economia solidaria;Termos no plano;Prefeito eleito;Programas pagos na plataforma
Vitória;ES;BEM;137;224;3;sim;nao;SIM;SIM;renda minima, transferencia de renda, programa de renda;LORENZO SILVA DE PAZOLINI;
Vitória;ES;PUA;9;2;0;sim;nao;SIM;SIM;renda minima, transferencia de renda, programa de renda;LORENZO SILVA DE PAZOLINI;
Niterói;RJ;ARARIBOIA;75;66681;481;sim;SIM;SIM;SIM;moeda social;RODRIGO NEVES BARRETO;Moeda Social Arariboia, ARARIBOIA, BENEFICIO_ARARIBOIA, Abono Natalino, Arariboia
Maricá;RJ;BANCO MUMBUCA;1;1;1;sim;SIM;SIM;SIM;moeda social;WASHINGTON LUIZ CARDOSO SIQUEIRA;
Maricá;RJ;FUNDINHO;43;27;1;sim;SIM;SIM;SIM;moeda social;WASHINGTON LUIZ CARDOSO SIQUEIRA;
Iguaba Grande;RJ;IGUABA GRANDE;48;2602;23;sim;SIM;nao;nao;moeda social;FABIO DE OLIVEIRA COSTA;
Cabo Frio;RJ;ITAJURU 1;43;579;1;sim;nao;nao;nao;;;
Maricá;RJ;ITAJURU 2;35;522;1;sim;SIM;SIM;SIM;moeda social;WASHINGTON LUIZ CARDOSO SIQUEIRA;
Cabo Frio;RJ;ITAJURU 3;31;514;1;sim;nao;nao;nao;;;
Cabo Frio;RJ;ITAJURU 4;28;591;1;sim;nao;nao;nao;;;
Cabo Frio;RJ;ITAJURU 5;27;1949;1;sim;nao;nao;nao;;;
Cabo Frio;RJ;ITAJURU 6;23;531;1;sim;nao;nao;nao;;;
Maricá;RJ;MUMBUCA;108;79661;1;sim;SIM;SIM;SIM;moeda social;WASHINGTON LUIZ CARDOSO SIQUEIRA;Renda Básica da Cidadania, PAT, RBC, Renda Básica Cidadania, BEP
Maricá;RJ;PLASTIC BANK;1;0;1;sim;SIM;SIM;SIM;moeda social;WASHINGTON LUIZ CARDOSO SIQUEIRA;
Niterói;RJ;PREVENTÓRIO;75;9;0;sim;SIM;SIM;SIM;moeda social;RODRIGO NEVES BARRETO;
Saquarema;RJ;SAQUA;47;46995;243;sim;SIM;nao;nao;moeda social;LUCIMAR PEREIRA VIDAL DA COSTA;Bolsa Permanência, RENDA BASICA DA CIDADANIA, Renda Básica Cidadania, RBC, Fundamental
Saquarema;RJ;SAQUA PET;37;135;13;sim;SIM;nao;nao;moeda social;LUCIMAR PEREIRA VIDAL DA COSTA;SaquaPET, SaquaPet, Saquapet, SAQUAPET, SAQUA PET 05-2024
Indiaroba;SE;INDIAROBA;50;2407;34;sim;nao;nao;SIM;;;
Nossa Senhora do Socorro;SE;SOCORRENSE;21;891;1;sim;nao;nao;SIM;;;
