UF;Municipios;Planos pesquisaveis;Bancos e-Dinheiro;Promete moeda social;Promete renda;Promete economia solidaria;Promete moeda verde;% dos planos pesquisaveis que prometem moeda
AC;22;20;1;0;4;8;0;0.0
AL;102;101;4;0;11;25;0;0.0
AM;62;62;4;0;16;11;0;0.0
AP;16;16;0;0;3;2;0;0.0
BA;417;409;7;3;90;177;1;0.73
CE;184;180;20;3;37;49;1;1.67
DF;0;0;8;0;0;0;0;0
ES;78;77;16;2;10;24;2;2.6
GO;246;244;4;0;42;52;0;0.0
MA;217;215;0;2;46;62;0;0.93
MG;853;834;10;13;94;164;3;1.56
MS;79;77;2;2;17;20;2;2.6
MT;142;139;1;1;18;24;1;0.72
PA;144;142;7;2;19;43;1;1.41
PB;223;219;5;2;40;54;0;0.91
PE;184;180;1;4;24;44;1;2.22
PI;224;223;1;0;46;45;0;0.0
PR;399;391;1;3;46;81;2;0.77
RJ;92;90;24;14;16;20;1;15.56
RN;167;166;2;1;35;39;0;0.6
RO;52;50;1;0;8;12;0;0.0
RR;15;15;0;0;3;0;0;0.0
RS;497;493;5;5;40;62;1;1.01
SC;295;292;4;0;19;37;0;0.0
SE;75;72;2;3;22;22;0;4.17
SP;645;620;16;12;97;112;11;1.94
TO;139;136;0;3;12;16;2;2.21
