Eixo;Cargo;UF;Candidato;Partido;Termos;Mencoes
Moeda municipal/social;governador;AM;DAVID ALMEIDA;AVANTE;moedas sociais;1
Moeda municipal/social;governador;PE;IVAN MORAES;PSOL;moedas sociais;1
Moeda municipal/social;governador;RJ;WILLIAM SIRI;PSOL;moedas sociais;1
Bancos comunitarios;governador;DF;CAPPELLI;PSB;banco do povo;5
Bancos comunitarios;governador;GO;MARCONI PERILLO;PSDB;banco do povo;4
Bancos comunitarios;governador;SP;TARCÍSIO;REPUBLICANOS;banco do povo;3
Bancos comunitarios;governador;AM;DAVID ALMEIDA;AVANTE;bancos comunitarios;2
Bancos comunitarios;governador;DF;LEANDRO GRASS;PT;banco do povo;2
Bancos comunitarios;governador;MS;FÁBIO TRAD;PT;banco do povo;2
Bancos comunitarios;governador;ES;HELDER SALOMÃO;PT;bancos comunitarios;1
Bancos comunitarios;governador;PE;IVAN MORAES;PSOL;bancos comunitarios;1
Bancos comunitarios;governador;RR;ROSI AIRES;PSOL;banco do povo;1
Bancos comunitarios;governador;RS;JULIANA BRIZOLA;PDT;bancos comunitarios;1
Renda basica e transferencia;governador;PE;IVAN MORAES;PSOL;renda basica, renda minima, transferencia de renda;9
Renda basica e transferencia;governador;BA;ACM NETO;UNIÃO;transferencia de renda;5
Renda basica e transferencia;governador;DF;LEANDRO GRASS;PT;renda basica, transferencia de renda;5
Renda basica e transferencia;governador;MA;SAULO ARCANGELI;PSTU;renda minima, transferencia de renda;5
Renda basica e transferencia;governador;PE;RENAN;MISSÃO;transferencia de renda, renda complementar;5
Renda basica e transferencia;governador;RJ;WILLIAM SIRI;PSOL;renda basica, renda minima, transferencia de renda;5
Renda basica e transferencia;presidente;BR;RONALDO CAIADO;PSD;transferencia de renda;4
Renda basica e transferencia;governador;CE;ZÉ BATISTA;PSTU;renda minima, transferencia de renda;4
Renda basica e transferencia;governador;BA;RONALDO MANSUR;PSOL;renda basica, transferencia de renda;3
Renda basica e transferencia;governador;ES;HELDER SALOMÃO;PT;transferencia de renda;3
Renda basica e transferencia;governador;MT;OTAVIANO PIVETTA;REPUBLICANOS;transferencia de renda;3
Renda basica e transferencia;governador;SE;EMANUEL CACHO;PSDB;transferencia de renda, renda complementar;3
Renda basica e transferencia;presidente;BR;ZEMA;NOVO;transferencia de renda;2
Renda basica e transferencia;governador;AP;DR. FURLAN;PSD;transferencia de renda;2
Renda basica e transferencia;governador;CE;ELMANO DE FREITAS;PT;transferencia de renda;2
Renda basica e transferencia;governador;DF;ARRUDA;PSD;transferencia de renda;2
Renda basica e transferencia;governador;ES;RICARDO FERRAÇO;MDB;transferencia de renda;2
Renda basica e transferencia;governador;GO;MARCONI PERILLO;PSDB;renda cidada;2
Renda basica e transferencia;governador;MS;EDUARDO RIEDEL;PP;transferencia de renda;2
Renda basica e transferencia;governador;PB;EFRAIM FILHO;PL;transferencia de renda;2
Renda basica e transferencia;governador;PR;SANDRO ALEX;PSD;transferencia de renda;2
Renda basica e transferencia;governador;SC;PROFESSOR MARCUS SODRÉ;PSTU;renda minima;2
Renda basica e transferencia;governador;SE;DR. HELTON;PSOL;renda minima, transferencia de renda;2
Renda basica e transferencia;governador;SE;FÁBIO;PSD;transferencia de renda;2
Renda basica e transferencia;presidente;BR;ESCRITOR AUGUSTO CURY;AVANTE;transferencia de renda;1
Renda basica e transferencia;presidente;BR;LULA;PT;transferencia de renda;1
Renda basica e transferencia;governador;AC;ALAN RICK;REPUBLICANOS;transferencia de renda;1
Renda basica e transferencia;governador;AM;DAVID ALMEIDA;AVANTE;transferencia de renda;1
