Municipio;UF;Banco;Periodo;Prometeu moeda no plano;Termos do compromisso;Contas ativas;Comercios credenciados;Comercios com venda;Valor emitido;Gasto no comercio local;Saques;Retencao local (%) [campo agregado, ver ressalva];Grau de uso comunitario;Grau de atividade do comercio;Grau de permanencia da moeda
Saquarema;RJ;SAQUA;2024-01;SIM;moeda social;26958;40;39;19567857.67;122341.91;11280959.79;1.07;1.0;0.975;0.010844991231016524
Saquarema;RJ;SAQUA;2024-02;SIM;moeda social;36565;35;34;23089259.78;37451.83;7824773.75;0.48;1.0;0.9714285714285714;0.004786314748078179
Saquarema;RJ;SAQUA;2024-03;SIM;moeda social;36927;45;54;23558505.96;23235.38;8293287.33;0.28;1.0;1.2;0.002801709271056934
Saquarema;RJ;SAQUA;2024-04;SIM;moeda social;36116;57;67;24102653.37;33704.31;8938446.32;0.38;1.0;1.1754385964912282;0.00377071235798393
Saquarema;RJ;SAQUA;2024-05;SIM;moeda social;38882;43;69;82167913.22;730952.71;11200663.34;6.13;1.0;1.6046511627906976;0.06525976969503305
Saquarema;RJ;SAQUA;2024-06;SIM;moeda social;39933;40;44;31048578.06;13129.74;9822058.04;0.13;1.0;1.1;0.0013367605797613466
Saquarema;RJ;SAQUA;2024-07;SIM;moeda social;41736;62;72;23740654.2;29235.24;10468423.31;0.28;1.0;1.1612903225806452;0.0027927070900995114
Saquarema;RJ;SAQUA;2024-08;SIM;moeda social;41762;39;43;26336833.81;15651.06;10989842.76;0.14;1.0;1.1025641025641026;0.001424138665292423
Saquarema;RJ;SAQUA;2024-09;SIM;moeda social;41330;36;49;26213154.83;61018.64;10889564.5;0.56;1.0;1.3611111111111112;0.00560340498465297
Saquarema;RJ;SAQUA;2024-10;SIM;moeda social;42621;35;41;26687432.01;13964.54;9738297.46;0.14;1.0;1.1714285714285715;0.001433981664388387
Saquarema;RJ;SAQUA;2024-11;SIM;moeda social;41600;35;48;32438355.87;23953.54;11353727.24;0.21;1.0;1.3714285714285714;0.0021097512291479003
Saquarema;RJ;SAQUA;2024-12;SIM;moeda social;41815;31;38;39488587.44;81466.61;13760194.19;0.59;1.0;1.2258064516129032;0.005920454964160652
Saquarema;RJ;SAQUA;2025-01;SIM;moeda social;35105;27;29;22769576.69;9870.86;10349503.0;0.1;1.0;1.0740740740740742;0.0009537520787230069
Saquarema;RJ;SAQUA;2025-02;SIM;moeda social;38250;26;46;25482843.19;43136.9;9461135.12;0.45;1.0;1.7692307692307692;0.00455937891731537
Saquarema;RJ;SAQUA;2025-03;SIM;moeda social;35752;38;21;19252453.68;6937.94;10113843.25;0.07;1.0;0.5526315789473685;0.0006859845291749009
Saquarema;RJ;SAQUA;2025-04;SIM;moeda social;37688;32;28;24643149.54;14128.83;10087229.58;0.14;1.0;0.875;0.0014006650575310892
Saquarema;RJ;SAQUA;2025-05;SIM;moeda social;41184;43;31;27427894.17;15396.48;10222430.71;0.15;1.0;0.7209302325581395;0.0015061466726244014
Saquarema;RJ;SAQUA;2025-06;SIM;moeda social;39306;35;21;25604592.11;9174.34;10405618.79;0.09;1.0;0.6;0.0008816717376593419
Saquarema;RJ;SAQUA;2025-07;SIM;moeda social;39203;50;62;30895846.44;42867.3;11887782.3;0.36;1.0;1.24;0.003605996385044835
Saquarema;RJ;SAQUA;2025-08;SIM;moeda social;37223;57;40;28548352.92;39306.22;11312481.13;0.35;1.0;0.7017543859649122;0.0034745887792698564
Saquarema;RJ;SAQUA;2025-09;SIM;moeda social;40451;40;46;30630560.79;89839.98;14385111.54;0.62;1.0;1.15;0.006245344691988423
Saquarema;RJ;SAQUA;2025-10;SIM;moeda social;46995;37;24;31531846.98;6676.0;12001606.15;0.06;1.0;0.6486486486486487;0.0005562588803999371
Saquarema;RJ;SAQUA;2025-11;SIM;moeda social;39368;26;27;30283360.34;31781.3;12784652.31;0.25;1.0;1.0384615384615385;0.0024858947454629676
Saquarema;RJ;SAQUA;2025-12;SIM;moeda social;40127;18;20;38839240.73;16701.46;14619361.07;0.11;1.0;1.1111111111111112;0.0011424206516297498
Saquarema;RJ;SAQUA;2026-01;SIM;moeda social;39939;26;20;32091938.13;18960.03;13943949.84;0.14;1.0;0.7692307692307693;0.0013597316554890874
Saquarema;RJ;SAQUA;2026-02;SIM;moeda social;39339;25;21;30238068.73;7542.86;12503245.99;0.06;1.0;0.84;0.0006032721427725826
Saquarema;RJ;SAQUA;2026-03;SIM;moeda social;38132;32;23;29082635.79;25990.85;11776333.95;0.22;1.0;0.71875;0.0022070408422818185
Saquarema;RJ;SAQUA;2026-04;SIM;moeda social;37386;37;23;28982671.54;17366.3;13057831.17;0.13;1.0;0.6216216216216216;0.001329952866897114
Saquarema;RJ;SAQUA;2026-05;SIM;moeda social;39731;47;25;29601460.09;10670.62;11751158.62;0.09;1.0;0.5319148936170213;0.0009080483333651057
Saquarema;RJ;SAQUA;2026-06;SIM;moeda social;39200;35;19;29488746.25;10657.32;12177639.05;0.09;1.0;0.5428571428571428;0.0008751548601697143
Saquarema;RJ;SAQUA;2026-07;SIM;moeda social;38974;62;33;354621339.45;20332.44;12838703.79;0.16;1.0;0.532258064516129;0.0015836832387890144
Indiaroba;SE;INDIAROBA;2024-01;nao;;1214;0;1;325329.13;30.0;140957.54;0.02;1.0;;0.00021283004797047393
Indiaroba;SE;INDIAROBA;2024-02;nao;;1214;0;1;382118.61;104.0;109686.55;0.09;1.0;;0.0009481563601006683
Indiaroba;SE;INDIAROBA;2024-03;nao;;1229;1;0;354427.8;0.0;195571.48;0.0;;0.0;0.0
Indiaroba;SE;INDIAROBA;2024-04;nao;;1227;0;0;347769.51;0.0;113154.95;0.0;;;0.0
Indiaroba;SE;INDIAROBA;2024-05;nao;;1250;0;1;370827.31;153.7;191063.27;0.08;1.0;;0.0008044455640270365
Indiaroba;SE;INDIAROBA;2024-06;nao;;1278;1;0;419377.38;0.0;154860.36;0.0;;0.0;0.0
Indiaroba;SE;INDIAROBA;2024-07;nao;;1292;2;1;419905.3;9.49;166327.57;0.01;1.0;0.5;5.705608516976471e-05
Indiaroba;SE;INDIAROBA;2024-08;nao;;1267;1;0;359731.45;0.0;116897.35;0.0;;0.0;0.0
Indiaroba;SE;INDIAROBA;2024-09;nao;;1249;2;0;367271.72;0.0;184647.58;0.0;;0.0;0.0
Indiaroba;SE;INDIAROBA;2024-10;nao;;1236;0;1;348329.01;51.0;192086.56;0.03;1.0;;0.0002655053013599702
Indiaroba;SE;INDIAROBA;2024-11;nao;;1243;0;0;359030.41;0.0;118226.41;0.0;;;0.0
Indiaroba;SE;INDIAROBA;2024-12;nao;;1297;0;1;448201.5;545.0;91046.73;0.6;1.0;;0.005985937111634872
Indiaroba;SE;INDIAROBA;2025-01;nao;;1244;2;2;295423.39;59167.8;143380.89;29.21;1.0;1.0;0.41266168734201614
Indiaroba;SE;INDIAROBA;2025-02;nao;;1243;3;2;361432.41;304.55;224714.9;0.14;1.0;0.6666666666666666;0.001355272836825684
Indiaroba;SE;INDIAROBA;2025-03;nao;;1250;1;0;367323.3;0.0;229426.93;0.0;;0.0;0.0
